instance;numRes;cmax;tminSGS;tmin;tmax;networkComplexity;resourceFactor;resourceStrength
j12010_1;4;362.5;111;111;119;1.5;0.493852;0.499363
j12010_10;4;595;66;66;80;1.5;0.493852;0.501567
j12010_2;4;401.5;91;91;100;1.5;0.493852;0.495029
j12010_3;4;404.5;99;99;122;1.5;0.493852;0.505324
j12010_4;4;444.5;95;95;109;1.5;0.493852;0.498872
j12010_5;4;459.5;97;97;103;1.5;0.493852;0.495173
j12010_6;4;288;95;92;103;1.5;0.493852;0.502533
j12010_7;4;408.5;79;79;96;1.5;0.493852;0.5
j12010_8;4;331;114;114;126;1.5;0.493852;0.501251
j12010_9;4;400;77;77;83;1.5;0.493852;0.496103
j12011_1;4;2574.5;139;90;210;1.5;0.737705;0.103554
j12011_10;4;3045;153;90;237;1.5;0.737705;0.0988963
j12011_2;4;2475;131;78;204;1.5;0.737705;0.102485
j12011_3;4;3140.5;172;93;252;1.5;0.737705;0.0975131
j12011_4;4;2874;160;96;242;1.5;0.737705;0.100291
j12011_5;4;3275.5;174;97;278;1.5;0.737705;0.101025
j12011_6;4;3192.5;170;91;266;1.5;0.737705;0.0967356
j12011_7;4;2409;139;82;205;1.5;0.737705;0.104255
j12011_8;4;2405.5;134;95;206;1.5;0.737705;0.100284
j12011_9;4;2921;147;76;216;1.5;0.737705;0.10102
j12012_1;4;1943.5;113;94;173;1.5;0.737705;0.203807
j12012_10;4;2451.5;116;84;170;1.5;0.737705;0.197888
j12012_2;4;2253;104;72;143;1.5;0.737705;0.199838
j12012_3;4;2367.5;117;84;159;1.5;0.737705;0.198182
j12012_4;4;2256.5;108;94;156;1.5;0.737705;0.198067
j12012_5;4;2382;145;98;215;1.5;0.737705;0.198644
j12012_6;4;2491.5;107;82;155;1.5;0.737705;0.200575
j12012_7;4;2505;109;83;150;1.5;0.737705;0.20062
j12012_8;4;2483.5;106;72;151;1.5;0.737705;0.200296
j12012_9;4;1930;96;77;128;1.5;0.737705;0.198768
j12013_1;4;1703.5;121;121;151;1.5;0.737705;0.301934
j12013_10;4;1842;92;78;116;1.5;0.737705;0.298781
j12013_2;4;1541;80;72;103;1.5;0.737705;0.30274
j12013_3;4;1597;112;106;152;1.5;0.737705;0.298549
j12013_4;4;1503.5;97;88;130;1.5;0.737705;0.299943
j12013_5;4;1687;88;79;110;1.5;0.737705;0.29916
j12013_6;4;1674.5;90;86;122;1.5;0.737705;0.298156
j12013_7;4;1884.5;105;105;137;1.5;0.737705;0.29965
j12013_8;4;1570.5;102;87;122;1.5;0.737705;0.300721
j12013_9;4;1621.5;86;77;115;1.5;0.737705;0.301231
j12014_1;4;1425.5;90;81;113;1.5;0.737705;0.401193
j12014_10;4;993.5;80;80;96;1.5;0.737705;0.403614
j12014_2;4;1267.5;91;86;120;1.5;0.737705;0.402544
j12014_3;4;1061.5;88;88;101;1.5;0.737705;0.40273
j12014_4;4;1266.5;92;85;109;1.5;0.737705;0.397227
j12014_5;4;1162;90;90;124;1.5;0.737705;0.398057
j12014_6;4;1174.5;91;91;107;1.5;0.737705;0.400139
j12014_7;4;1436.5;89;89;107;1.5;0.737705;0.39638
j12014_8;4;1005.5;107;101;145;1.5;0.737705;0.397826
j12014_9;4;934.5;101;101;113;1.5;0.737705;0.399544
j12015_1;4;879.5;81;81;93;1.5;0.737705;0.502982
j12015_10;4;996.5;91;91;110;1.5;0.737705;0.495465
j12015_2;4;803.5;77;75;90;1.5;0.737705;0.498762
j12015_3;4;759.5;87;87;103;1.5;0.737705;0.501761
j12015_4;4;645;87;82;105;1.5;0.737705;0.501694
j12015_5;4;769.5;87;87;90;1.5;0.737705;0.501462
j12015_6;4;595;97;97;106;1.5;0.737705;0.502043
