instance;Gurobi;GA beta;GA zr;GA zrt;LS beta;LS zr;LS zrt
j12010_1;362.5;362.5;362.5;362.5;362.5;362.5;362.5
j12010_10;595;595;595;595;595;595;595
j12010_2;401.5;401.5;401.5;401.5;401.5;401.5;401.5
j12010_3;404.5;404.5;404.5;404.5;404.5;404.5;404.5
j12010_4;444.5;444.5;444.5;444.5;444.5;444.5;444.5
j12010_5;459.5;459.5;459.5;459.5;459.5;459.5;459.5
j12010_6;288;288;288;288;288;288;288
j12010_7;408.5;408.5;408.5;408.5;408.5;408.5;408.5
j12010_8;331;331;331;331;331;331;331
j12010_9;400;400;400;400;400;400;400
j12011_1;0;1642.331055;1652.163818;1648.331055;1575.697754;1626.650391;1250.352051
j12011_10;0;2061.640381;2093.916016;2090.180664;1972.182129;2005.861572;1550.54126
j12011_2;0;1650.494873;1668.111084;1669.275513;1627.951294;1632.236938;1301.653687
j12011_3;0;2012.741455;2019.250977;2036.511719;1922.787842;1975.719727;1480.237549
j12011_4;0;1896.687988;1895.687988;1922.850342;1850.180176;1886.553955;1552.922363
j12011_5;0;2202.632324;2217.226074;2252.020264;2082.165283;2184.132324;1772.263672
j12011_6;0;2005.504639;2047.330566;2051.057373;1951.659668;1999.330566;1445.551636
j12011_7;0;1566.848145;1581.348145;1596.659668;1488.213745;1550.00293;1328.741699
j12011_8;0;1704.224121;1711.52356;1718.881104;1678.08252;1686.881104;1469.586548
j12011_9;0;1857.465332;1873.822754;1879.501465;1856.382568;1829.408447;1557.03418
j12012_1;0;1444.983276;1448.605469;1466.73645;1404.681885;1439.732422;1324.175537
j12012_10;0;1678.328857;1689.457886;1692.957886;1675.344849;1673.659302;1396.453979
j12012_2;0;1535.995361;1556.995361;1543.338379;1467.772095;1531.787598;1339.616943
j12012_3;0;1545.952393;1548.509766;1564.509766;1520.411133;1544.452393;1214.277832
j12012_4;0;1835.586182;1837.305908;1848.805908;1801.382935;1807.382935;1617.392822
j12012_5;0;1738.29834;1765.115601;1765.615601;1703.124756;1728.124756;1460.823975
j12012_6;0;1912.16626;1920.66626;1923.445557;1850.853149;1869.95166;1765.942993
j12012_7;0;1914.801758;1916.730713;1923.074219;1845.272339;1883.503906;1641.203613
j12012_8;0;1727.032104;1735.48938;1748.778809;1706.532104;1713.032104;1530.465942
j12012_9;0;1455.130005;1470.584717;1468.084717;1475.130005;1454.130005;1366.236084
j12013_1;0;1626.215576;1639.215576;1635.464966;1611.715576;1602.715576;1615.180542
j12013_10;0;1630.174561;1623.360107;1626.174561;1609.649536;1621.360107;1572.419678
j12013_2;0;1259.113403;1264.113403;1271.113403;1236.090576;1264.613403;1138.703979
j12013_3;135.850662;1486.367188;1485.19751;1492.69751;1486.367188;1469.678223;1158.777832
j12013_4;0;1129.304932;1126.727051;1120.804932;1098.178345;1114.804932;987.120483
j12013_5;0;1486.9823;1500.4823;1488.303345;1479.650391;1456.953735;1332.929199
j12013_6;0;1487.34375;1492.308594;1500.308594;1453.661621;1488.84375;801.07251
j12013_7;1670;1834.937012;1836.638672;1843.437012;1826.054688;1807.554688;1770.82373
j12013_8;1249.5;1491.346558;1492.346558;1489.448975;1469.846558;1468.449341;1466.949341
j12013_9;0;1528.976807;1530.476807;1520.976807;1511.543335;1514.632935;1451.799194
j12014_1;1276;1387.226563;1387.226563;1386.226563;1384.726563;1382.697754;1257.057129
j12014_10;914;973.476563;976.619141;977.119141;967.976563;976.976563;955.072266
j12014_2;991.403564;1203.02771;1206.52771;1213.02771;1193.773804;1196.773804;1172.687256
j12014_3;1054.5;1061.5;1061.5;1061.5;1061.5;1061.5;1055.218994
j12014_4;0;1236.704834;1239.710938;1234.210938;1229.210938;1230.204834;1237.210938
j12014_5;0;1095.370239;1094.245728;1097.245728;1088.245728;1082.245728;1058.980957
j12014_6;1166;1174.5;1174.5;1174.5;1174.5;1174.5;1174.5
j12014_7;0;1421.066406;1422.066406;1418.066406;1413.566406;1415.566406;1389.765381
j12014_8;0;935.562988;935.562988;939.062988;907.226501;932.062988;910.726501
j12014_9;934.5;934.5;934.5;934.5;934.5;934.5;934.5
j12015_1;879.5;879.5;879.5;879.5;879.5;879.5;879.5
j12015_10;996.5;996.5;996.5;996.5;996.5;996.5;996.5
j12015_2;803.5;803.5;803.5;803.5;803.5;803.5;799.928894
j12015_3;733.5;759.5;759.5;759.5;759.5;759.5;759.5
j12015_4;645;645;645;645;645;645;645
