instance;Gurobi;GA0;GA3;GA4;LocalSolverNative0;LocalSolverNative3;LocalSolverNative4
j3010_1;120.462219;120.462219;120.462219;120.462219;120.462219;120.462219;120.462219
j3010_10;176.395065;174.395065;174.395065;174.395065;176.395065;174.395065;176.395065
j3010_2;124.742607;124.742607;124.742607;124.742607;124.742607;124.742607;124.742607
j3010_3;118.535156;117.535156;117.535156;117.535156;118.535156;118.535156;118.535156
j3010_4;169.566483;169.566483;169.566483;169.566483;169.566483;169.566483;169.566483
j3010_5;105;105;105;105;105;105;105
j3010_6;135.756195;135.756195;135.756195;135.756195;135.756195;135.756195;135.756195
j3010_7;123.235001;123.235001;123.235001;123.235001;123.235001;123.235001;123.235001
j3010_8;142.472229;142.472229;142.472229;142.472229;142.472229;142.472229;142.472229
j3011_1;29.28994;28.78994;29.28994;29.28994;29.28994;29.28994;29.28994
j3011_10;48.5;48.5;48.5;48.5;48.5;48.5;48.5
j3011_2;67.5;67.5;67.5;67.5;67.5;67.5;67.5
j3011_4;35.5;35.5;35.5;35.5;35.5;35.5;35.5
j3011_5;51.358025;51.358025;51.358025;51.358025;51.358025;51.358025;51.358025
j3011_6;52;52;52;52;52;52;52
j3011_7;70;70;70;70;70;70;70
j3011_8;61;61;61;61;61;61;61
j3011_9;22.5;22.5;22.5;22.5;22.5;22.5;22.5
j3014_1;126.177521;126.177521;125.24556;124.24556;126.177521;126.177521;126.177521
j3014_10;84.5;84.5;84.5;84.5;84.5;84.5;84.5
j3014_2;163.179932;169.839096;169.839096;169.839096;170.339096;171.179932;170.339096
j3014_3;183.5;183;183.5;183.5;183.5;183.5;183.5
j3014_4;111.458679;114.834709;111.334709;114.834709;113.834709;114.834709;114.834709
j3014_5;178.765427;177.265427;178.765427;178.765427;178.765427;178.765427;178.765427
j3014_6;190.5;190.5;190.5;190.5;190.5;190.5;190.5
j3014_7;240.948975;241.448975;240.448975;241.448975;242.737244;241.448975;241.448975
j3014_8;191.5;191.5;191.5;191.5;191.5;191.5;191.5
j3014_9;117.061226;116.061226;116.061226;116.561226;116.561226;117.061226;116.561226
j3015_2;51.5;51.5;51.5;51.5;51.5;51.5;51.5
j3015_3;72;72;72;72;72;72;72
j3015_5;106.5;106.5;106.5;106.5;107.289063;106.5;107.289063
j3015_7;41.5;41.5;41.5;41.5;41.5;41.5;41.5
j3015_8;69;69;69;69;69;69;69
j3015_9;63.5;63.5;63.5;63.5;63.5;63.5;63.5
j3017_1;65.777779;65.777779;65.777779;65.777779;65.777779;65.777779;65.777779
j3017_10;61;61;61;61;61;61;61
j3017_2;18.92;18.73;18.92;18.92;18.92;18.92;18.92
j3017_4;48.969135;48.969135;48.969135;48.969135;48.969135;48.969135;48.969135
j3017_5;52.301037;52.301037;51.301037;52.301037;52.301037;52.301037;52.301037
j3017_6;63.5;63.5;63.5;63.5;63.5;63.5;63.5
j3017_7;46.432098;46.432098;46.432098;46.432098;46.432098;46.432098;46.432098
j3017_8;52.25148;52.25148;52.25148;52.25148;52.25148;52.25148;52.25148
j3017_9;38.994083;38.994083;38.74852;38.994083;38.994083;38.994083;38.994083
